Sr. No.,ProductTitle,Category,ProductSubCat,ProductWeight,based,Size 1,Size 2,Size 3,Size 4,Size 5,ProductWashability,ProductDurability,ProductShades,ProductCoverage,ProductFinish,ProductDryingTime,ProductDetails,One Liner,ProductFeature1,ProductFeature2,ProductFeature3,ProductFeature4,ProductFeature5,ProductFeature6,ProductPIS,ProductSurfacePreparation,ProductMixingthePaint,ProductApplyingthePaint,ProductCleanUp,ProductFinalTouches,ProductMaterials,ProductTips,Question 1,Question 2,Question 3,Question 4,Question 5,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Image,PIS,Product Page URL
65,Apex Createx Scratch Finish,Exterior,Texture,Kg,Water,25,,,,,3 (Medium Washable),4-6 Years,1500+,2.5 - 3 sq. ft/kg,Matt (G-20),30-60 Minutes,"Apex Createx Scratch finish is a textured finish comprising of high quality exterior durable acrylic modified resin and special quality dolomite texture sand. It comes with its unique designs and sophisticated patterns that makes your home exteriors a stunning beauty. It hides surface undulations and fine cracks. Resists fungus and algal growth, when applied as a system with the recommended top coat. It releases trapped moisture both from paint surface as well as the substrate. The tough textured finish lasts for long and ensures low maintenance.",,Hides Cracks,Anti-algal,Releases Trapped Moisture,UV Resistance,Tough Textured,Plaster Protection,,,,,,,,,Is Apex Createx Scratch Finish paint washable?,What is the expected coverage per liter of Apex Createx Scratch Finish?,How many coats are recommended for Apex Createx Scratch Finish?,How long will Apex Createx Scratch Finish last after application?,What is the dilution ratio for Apex Createx Scratch Finish?,"Yes, Asian Paints Apex Createx Scratch Finish is a washable paint.","For the Crosstex variant, aiming for an even coating of approximately 2 mm, a single coat provides coverage of 0.23 to 0.27 square meters per kilogram. In contrast, the White variant, designed for a 1.5 mm coating thickness, yields a slightly higher coverage of 0.27 to 0.37 square meters per kilogram for a single coat.",One coat of Apex Createx Scratch Finish topcoat will cover between 0.27 and 0.37 square meters per kilogram.,Apex Createx Scratch Finish does not offer any warranty.,2-5% of Apex Createx Scratch Finish is recommended to dilute if required.,Yes,Yes,
66,Apex Createx Roller Finish,Exterior,Texture,Kg,Water,20,,,,,3 (Medium Washable),4-6 Years,1500+,0.9 - 1.1 sq.m,Matt (G-20),30-60 Minutes,"Asian Paints Apex Createx - Roller Finish is a modified acrylic, water-based exterior product specially designed as an intermediate coating. It facilitates excellent adhesion of subsequent coats. It offers a unique textured pattern which has a distinctive appeal. Resists efflorescence and lime blooming with good adhesion on all cement plasters. It promotes adhesion of subsequent coats. It serves as an undercoat which will provide protection and decor for a variety of exterior and interior surfaces.",,Hides Cracks,Anti-algal,Good Adhesion,Tough Textured,Plaster Protection,,,,,,,,,,Is Apex Createx Roller Finish paint washable?,What is the expected coverage per liter of Apex Createx Roller Finish?,How many coats are recommended for Apex Createx Roller Finish?,What is the dilution ratio for Apex Createx Roller Finish?,"Yes, Asian Paints Apex Createx Roller Finish is a washable paint.","When Apex Createx Roller Finish is applied via brush to a smooth masonry surface, one coat is estimated to cover 30 to 50 square feet per liter.",One coat of Apex Createx Roller Finish topcoat will cover between 0.9 and 1.1 square meters per kilogram.,,Apex Createx Roller Finish does not offer any warranty.,2-5% of Apex Createx Roller Finish is recommended to dilute if required.,Yes,Yes,
67,Apex Createx Dholpur,Exterior,Texture,Kg,Water,25,,,,,3 (Medium Washable),4-6 Years,1500+,0.18 - 0.23 sq.m,Matt (G-20),30-60 Minutes,"This synthetic intermediate finish is designed with high quality acrylic modified resins for durable exteriors. With its unique Stone like resemblance, Apex Createx Dholpur offers a wide range of patterns that combine decoration with protection and imparts a super-premium look to the exterior walls. It hides surface undulations and fine cracks. The tough texture finish lasts for long and ensures low maintenance. It resists fungal and algal growth when applied as system, with the recommended top coat.",,Hides Cracks,Anti-algal,Good Adhesion,Tough Textured,Plaster Protection,UV Resistance,,,,,,,,,Is Apex Createx Dholpur paint washable?,What is the expected coverage per liter of Apex Createx Dholpur?,How many coats are recommended for Apex Createx Dholpur?,How long will Apex Createx Dholpur last after application?,What is the dilution ratio for Apex Createx Dholpur?,"Yes, Asian Paints Apex Createx Dholpur is a washable paint.","When Apex Createx Dholpur is applied with a trowel or spatula to achieve a consistent 1-1.5 mm thickness, two coats will provide an estimated coverage of 0.18 to 0.23 square meters per kilogram.",Two coats of Apex Createx Dholpur topcoat are recommended which will cover between 0.18 and 0.23 square meters per kilogram.,Apex Createx Dholpur does not offer any warranty.,Apex Createx Dholpur is not recommended to dilute.,Yes,Yes,
68,Apex Duracast Swirltex,Exterior,Texture,Kg,Water,25,,,,,3 (Medium Washable),4-6 Years,1500+,3.5 - 4.0 sq.ft/kg,Matt (G-20),30-60 Minutes,"Crafted with high-quality acrylic-modified resin and special-grade quartz, this synthetic intermediate finish delivers a distinctive swirl pattern that adds depth and character to any façade. It hides surface undulations and fine cracks. Resists fungus and algal growth, when applied as a system with the recommended top coat. It releases trapped moisture both from paint surface as well as the substrate. ",,Hides Cracks,Anti-algal,Releases Trapped Moisture,Tough Textured,Plaster Protection,UV Resistance,,,,,,,,,,,,,,,,,,,Yes,Yes,
69,Apex Duracast Crosstex,Exterior,Texture,Kg,Water,25,,,,,3 (Medium Washable),4-6 Years,1500+,2.5 - 3 sq. ft/kg,Matt (G-20),30-60 Minutes,"Innovative Textured Finish: Enables a wide range of trowel-based patterns for a bold and modern look. Crack Concealment: Effectively hides fine cracks and surface undulations, ensuring a smooth and uniform appearance. It hides surface undulations and fine cracks.It resists fungal and algal growth when applied as system, with the recommended top coat. ",,Hides Cracks,Anti-algal,Low VOC,Tough Textured,Plaster Protection,,,,,,,,,,,,,,,,,,,,Yes,Yes,
70,Apex Duracast Roughtex,Exterior,Texture,Kg,Water,25,,,,,3 (Medium Washable),4-6 Years,1500+,2 - 2.5 sq.ft/kg,Matt (G-20),30-60 Minutes,"In a city that is home to millions, make your creation stand out. Apex Duracast Roughtex is renowned for their superior toughness and lend a unique look to your exterior walls. Resists fungus and algal growth, when applied as a system with the recommended top coat. The tough textured finish lasts for long and ensures low maintenance. It releases trapped moisture both from paint surface as well as the substrate. ",,Hides Cracks,Anti-algal,Releases Trapped Moisture,Tough Textured,Plaster Protection,UV Resistance,,,,,,,,,,,,,,,,,,,Yes,Yes,
71,Apex Duracast DholpurTex,Exterior,Texture,Kg,Water,25,,,,,3 (Medium Washable),4-6 Years,1500+,2 - 2.5 sq.ft/kg,Matt (G-20),30-60 Minutes,"Asian Paints Apex Duracast DholpurTex is a textured finish composed of high quality durable acrylic modified resin specially designed as an intermediate coating. DholpurTex imparts a super premium look to the walls. It resists fungal and algal growth when applied
as system, with the recommended top coat. It increases the life of plaster by protecting it from wind driven rain. ",,Hides Cracks,Anti-algal,UV Resistance,Tough Textured,Plaster Protection,,,,,,,,,,,,,,,,,,,,Yes,Yes,
72,Apex Duracast Finetex,Exterior,Texture,Kg,Water,25,,,,,3 (Medium Washable),4-6 Years,1500+,12-14 Sq.ft/kg,Matt (G-20),30-60 Minutes,"Asian Paints Apex Duracast FineTex is a modified acrylic, water-based exterior product specially designed as an intermediary coating. It facilitates excellent adhesion of subsequent coats. It offers a unique texture patterns which have a distinctive appeal.",,Hides Cracks,Good Adhesion,Tough Textured,Plaster Protection,Unique Look,,,,,,,,,,,,,,,,,,,,Yes,No,
73,Apex Duracast Pebbletex,Exterior,Texture,Kg,Water,5,30,,,,3 (Medium Washable),4-6 Years,1500+,7-9 sq.ft/kg,Matt (G-20),30-60 Minutes,"Duracast PebbleTex is the ideal solution for those looking to combine artistic texture with reliable wall protection. Asian Paints Apex Duracast PebbleTex is an acrylic, water-based exterior product specially designed to offer a bubble or headcut pattern through spraying on both interior and exterior wall surfaces. Apex Duracast PebbleTex hides surface undulations and fine cracks. It resists fungal and algal growth when applied as system, with the recommended top coat.",,Hides Cracks,Anti-algal,Tough Textured,Unique Pattern,,,,,,,,,,,,,,,,,,,,,Yes,Yes,
74,Apex Ultima Allura Concordia Granizia,Exterior,Texture,Kg,Water,30,,,,,4 (Good Washable),8-10 Years,32+,3-3.5sq.ft/kg,Matt (G-20),2-4 Hours,"Crafted when some of the hardest and strongest materials come together from crushed stone, sand aggregates, gravel and inert pigments reinforced with acrylic modified emulsion - to give you a complex surface for feel and sight. Asian Paints Apex Ultima Allura Concordia Granizia is a grainy textured finish which gives a unique granite appearance making a definite impression to your exteriors. It is water based product.",,High DPUR,High anti algal properties,Excellent water repellency,,,,,,,,,,,,Is Ultima Allura Concordia paint washable?,What is the expected coverage per kg of Ultima Allura Concordia?,How many coats are recommended for Ultima Allura Concordia?,How long will Ultima Allura Concordia last after application?,What is the dilution ratio for Ultima Allura Concordia?,"Asian Paints Ultima Allura Concordia has excellent water repellency and high Dirt Pick-Up Resistance, which helps create the perfect exteriors.",The expected coverage per kg for Asian Paints Ultima Allura Concordia one coat is 3-3.5sq.ft/kg.,On-coat is recommended while using Asian Paints Ultima Allura Concordia.,"With excellent and advanced features, Asian Paints Ultima Allura Concordia can help you create the perfect exterior walls that will stay clean and beautiful for years.",Asian Paints Ultima Allura Concordia doesn’t need dilution.,Yes,Yes,
75,Apex Ultima Allura Reserva Novi Marble,Exterior,Texture,Kg,Water,30,,,,,4 (Good Washable),6-8 Years,10+,3-3.5sq.ft/kg,Matt (G-20),2-4 Hours,"Retains elements that are authentic to its natural environment. Mined and crafted for this very purpose, they have a distinct visual appearance of their own. Asian Paints Apex Ultima Allura Reserva Novi Marble is a medium textured finish which gives a unique marble like appearance making a definite impression to your exteriors. It is water based product",,High DPUR,High anti algal properties,Excellent water repellency,,,,,,,,,,,,Is Ultima Allura Reserva paint washable?,What is the expected coverage per kg of Ultima Allura Reserva?,How many coats are recommended for Ultima Allura Reserva?,How long will Ultima Allura Reserva last after application?,What is the dilution ratio for Ultima Allura Reserva?,"Asian Paints Ultima Allura Reserva has excellent water repellency, which protects the wall from moisture and water damage. This finish can also be washed and cleaned of any algal and fungal growth at regular intervals of six months.",The expected coverage per liter of Asian Paints Ultima Allura Reserva is 3-3.5 sqft/kg for one coat.,The recommended number of coats for Asian Paints Ultima Allura Reserva is one coat.,"Asian Paints Ultima Allura Reserva will last for years to come, as it comes with various features that help you create a home exterior that is not only beautiful but also has high DPUR, high anti-algal properties, excellent water repellency and a performance warranty of up to 7 years.",Dilution is not required for Asian Paints Ultima Allura Reserva.,Yes,Yes,
76,Apex Ultima Allura Meraki Aeris,Exterior,Texture,Kg,Water,30,,,,,4 (Good Washable),8-10 Years,5+,3-3.5sq.ft/kg,Matt (G-20),2-4 Hours,"Inspired by cladding materials – adding finishing touches. They are crafted with a thoughtful blend of selected sands and unfired clays, mixed with pigments and minerals into a high-quality natural plaster that encourages breathability in the design. Asian Paints Apex Ultima Allura Meraki Aeris is a medium textured finish which gives a unique rust like appearance making a definite impression to your exteriors. It is water based product.",,High DPUR,High anti algal properties,Excellent water repellency,,,,,,,,,,,,Is Ultima Allura Meraki paint washable?,What is the expected coverage per kg of Ultima Allura Meraki?,How many coats are recommended for Ultima Allura Meraki?,How long will Ultima Allura Meraki last after application?,What is the dilution ratio for Ultima Allura Meraki?,"Asian Paints Ultima Allura Meraki is highly water repellent, which protects it from water damage and moisture. This allows you to ensure proper washing and cleaning of all algal and fungal growth, if any, at regular intervals of six months.",The expected coverage per kg of Asian Paints Ultima Allura Meraki is 3-3.5sq.ft/kg for one coat.,Two coats of Asian Paints Ultima Allura Meraki are recommended to create the ideal basecoat and desired pattern for your home exterior.,"The Asian Paints Ultima Allura Meraki can last for years to come, as it comes with advanced features such as high dust pick-up resistance, high anti-algal properties, excellent water repellency, and a 10-year warranty.","The first coat of Apex Ultima Allura Meraki Aeris Basecoat requires no dilution, and the second pattern coat of Apex Ultima Allura Meraki Aeris can be diluted 15-30%.",Yes,Yes,
77,Apex Ultima Allura Venezio,Exterior,Texture,Kg,Water,10,25,30,,,4 (Good Washable),8-10 Years,1500+,0.4 - 0.5 sq.m/kg,Matt (G-20),2-4 Hours,"Taking inspiration from the beauty of Italian architecture, Ultima Allura Venezio captures the essence of rustic Italian exteriors and gives a fine grain textured finish when applied. The water-based product offers a subtle, sophisticated finish to your wall. Asian Paints Apex Ultima Allura Venezio is a fine grain textured finish for exteriors imported from Italy. It replicates the rustic Italian exteriors, offering a subtle, sophisticated finish on the wall. It is a water-based product based on advanced siloxane-modified acrylic binders. The superior water repellence to wind-driven rain and running water offered by Apex Ultima Allura Venezio protects buildings for a longer time. ",,ANTI-MOULD PERFORMANCE,WATER VAPOUR PERMIABILITY,STRONG WATER REPELLANCE,HIGH EROSION RESISTANCE,,,,,,,,,,,Is Ultima Allura Venezio paint washable?,What is the expected coverage per liter of Ultima Allura Venezio?,How many coats are recommended for Ultima Allura Venezio?,How long will Ultima Allura Venezio last after application?,What is the dilution ratio for Ultima Allura Venezio?,"Yes, Asian Paints Ultima Allura Venezio is washable due to its water-repellent properties, which protect buildings from rain and running water, ensuring long-lasting protection.",The expected coverage is between 0.4 and 0.5 square meters per kilogram when applied on a normal masonry surface using steel trowel.,One coat of Ultima Allura Venezio is recommended which will cover between 0.4 and 0.5 square meters per kilogram without dilution. Using a paint budget calculator can help you plan material costs more accurately,Ultima Allura Venezio does not offer any warranty.,Ultima Allura Venezio is not recommended to dilute.,Yes,Yes,
78,Apex Ultima Allura Torino,Exterior,Texture,Kg,Water,10,25,,,,4 (Good Washable),8-10 Years,White,0.3 - 0.4 sq.m/kg,Matt (G-20),2-4 Hours,"An antique look carries a great deal of character. Give your walls personality with Ultima Allura Torino. Imported from Italy and made with selected marble chips, it is a water-based product with a textured finish.It is a water-based product with an efficient blend of advance acrylic copolymer with Siloxane resin inbuilt with selected marble chips to give an antique look. The superior water repellence to wind-driven rain and running water offered by Apex Ultima Allura Torino protects buildings for a longer time. ",,ANTI-MOULD PERFORMANCE,WATER VAPOUR PERMIABILITY,STRONG WATER REPELLANCE,HIGH EROSION RESISTANCE,,,,,,,,,,,Is Ultima Allura Torino paint washable?,What is the expected coverage per liter of Ultima Allura Torino?,How many coats are recommended for Ultima Allura Torino?,How long will Ultima Allura Torino last after application?,What is the dilution ratio for Ultima Allura Torino?,"Yes, Asian Paints Ultima Allura Torino is washable as it has water repellency to wind-driven rain and running water that protects buildings for a longer time.","The expected coverage is between 0.4 and 0.5 square meters per kilogram when applying a single coat. If two coats are applied, the expected coverage is between 0.3 and 0.4 square meters per kilogram. Our team can help you estimate the exact quantity required for your proje",Two coats of Ultima Allura Torino will cover between 0.3 and 0.4 square meters per kilogram without dilution.,Ultima Allura Torino does not offer any warranty.,Ultima Allura Torino is not recommended,Yes,Yes,
79,Apex Ultima Allura Clara,Exterior,Texture,Liter,Water,4,20,,,,4 (Good Washable),8-10 Years,Clear,45-50sqft/L,High Sheen,30-60 Minutes,"Protective coat for Allura Concordia, Reserva and Meraki. Apex Ultima Allura Clara is a uniquely formulated water based pure acrylic clear coating, designed to provide protection of Allura Concordia, Reserva and Meraki. It is designed to protect the undercoat/substrate from harsh external weather conditions. In the Matt variant, the translucent film ensures that the natural look of the textured surface is maintained whereas the Glossy variant gives a rich shiny appearance to the textured surface.",,Anti-Algal Property,High Water Resistance,Matt & Glossy Variants,Long Lasting,,,,,,,,,,,Is Ultima Allura Clara paint washable?,What is the expected coverage per liter of Ultima Allura Clara?,How many coats are recommended for Ultima Allura Clara?,How long will Ultima Allura Clara last after application?,What is the dilution ratio for Ultima Allura Clara?,"Asian Paints Ultima Allura Clara has high water resistance, which helps in maintaining the walls with ease.","The expected coverage per liter of Asian Paints Ultima Allura Clara on a normal masonry surface by brushing for 2 coats is 45-50 sq.ft./l. The actual painting cost may vary from the quoted coverage due to factors such as method and condition of application, surface roughness, and porosity.",The recommended coat for Asian Paints Ultima Allura Clara is 2 coats.,"Asian Paints Ultima Allura Clara will last years with high water resistance, anti-algal properties, and state-of-the-art technology that provides long-lasting performance in the most tropical and harsh conditions.",The dilution ratio for Asian Paints Ultima Allura Clara is 30%.,Yes,Yes,
80,Trucare Powder Acrylic Putty,Interior,Putty (Base Material),Kg,,,,,,,,,White,15-20sqft/kg,Highly Matt,30-60 Minutes,"Achieve a marble-like, ultra-smooth finish with Trucare Powder Acrylic Putty from Asian Paints. Perfect for a glossy, shiny topcoat that ensures the smoothest surface and a superior finish.",,SMOOTHNESS OF ACRYLIC FINISH,DEPENDABILITY OF CEMENT PUTTY,,,,,,,,,,,,,,,,,,,,,,,Yes,,
81,Trucare Acrylic Wall Putty,Interior,Putty (Base Material),Kg,Water,1,5,10,20,35,,,White,24 - 35 sq.ft/kg,,20 Minutes,"Say goodbye to cracks and dents with special acrylic binders of this putty. This water-based concrete putty has good alkali resistance, making it suitable for new walls and giving it a smooth finish. It has lesser porosity as compared to conventional putty thus enhancing wall breathability and paint performance. Asian Paints Acrylic Wall Putty is a water based putty. It is one of the best products of it’s kind available in the market, provides a very strong, durable foundation and brings out the best performance from the finish paints, both in looks and in durability.",,Strong Grip on surface,Acrylic Binders,Exceptional Whiteness and Smoothness,Aetter Alkali Resistance,GOOD SEALING PROPERTIES,ADHESION,,,,,,,,,,,,,,,,,,,Yes,,
82,Putty Boost,Interior & Exterior Both,Putty (Base Material),Liter,Water,0.2,1,,,,,,Liquid for mix,per 40 kg putty bag,,,"SmartCare Putty Boost is a PCE based integral solution for Putty. It is an additive to the powder putty that enhances workability, increases crack resistance and strength of putty. It is an additive to the powder putty and enhances workability and performance of putty. The same can be used with Waterproof putty. ",INTEGRAL PUTTY COMPOUND FOR ENHANCING PUTTY PERFORMANCE,Enahnced Workability,Reduced Cracking & Shrinkage,Increased Putty Strength,Easy to Mix & Apply,Increased Pot-Life,Increased Productivity,,,,,,,,,How long does the waterproofing last with Putty Boost?,Is Putty Boost safe for the environment?,Can Putty Boost be used for both interior and exterior waterproofing?,What is the coverage for Putty Boost?,What colours are available in Putty Boost?,"Asian Paints Putty Boost is used to add to putty or waterproofing putty, but it is not for waterproofing purposes.","Yes, Asian Paints Putty Boost is safe for interior and exterior use.","Yes, Asian Paints Putty Boost can be used for interior and exterior putty applications, but not as a waterproofing solution alone.",The coverage of Asian Paints Putty Boost is 200 ml per 40 kg putty bag.,The Asian Paints Putty Boost is available in clear liquid form.,Yes,Yes,https://www.asianpaints.com/products/waterproofing-solutions/putty-boost-6878.html
83,Trucare Filling Putty,Interior & Exterior Both,Putty (Base Material),Kg,Water,40,,,,,,,White,2 - 3 sq.ft/kg** for 5mm thickness,,30 Minutes,TruCare Filling Putty is a water resistant wall filler putty. This white cement based putty is specially designed to help level large surface undulations on pre-cast formwork and cement plasters. Enhanced resistance to wear and tear is what Trucare Filling Putty endorses.,Asian Paints Asian Filling Putty is a white cement based product specially designed for leveling large surface undulations,Levels large surface undulations,Excellent abrasion resistance,Good Water Resistance,Does not require curing with water,,,,,,,,,,,,,,,,,,,,,Yes,Yes,https://www.asianpaints.com/products/paints-and-textures/exterior-walls/plain-finishes/trucare-filling-putty.html
84,TruCare 2X Primer Putty Mix,Interior,Putty (Base Material),Kg,Water,1,5,10,20,,,,White,15 - 18 sq.ft/kg,,30 Minutes,"A one of its kind putty that doesn't require primer undercoat as it holds the unique quality of being a self primer when applied to walls. We make sure you build a strong foundation and get smooth finish on your walls with this water-based putty. It enhances the desired performance of finished paints in terms of looks, effect as well as durability. Since it's a mix of primer and putty, you don't need to apply primer coat.",The putty does not need a coat of primer,does not need a coat of primer,superior smoothness.,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,https://www.asianpaints.com/products/paints-and-textures/interior-walls/plain-finishes/trucare-2x-primer-putty-mix.html
85,Trucare Wall Putty,Interior & Exterior Both,Putty (Base Material),Kg,Water,1,5,20,40,,,,White,1 - 1.5 sq.m/kg for upto 1.5 mm,,30 Minutes,Give your walls a great foundation with Trucare Wall Putty - a white cement based putty that is packed with functional additives. It helps give interior and exterior rough plasters an even finish along with proving to be a great undercoat adhesion to emulsion paints. Does not require curing with water.,Asian Paints Asian Wall Putty is a white cement based product with redispersible polymer and functional additives,SMOOTH FINISH,GOOD WORKABILITY,WATER RESISTANT,EXCELLENT STRENGTH,,,,,,,,,,,How Long Will Trucare Wall Putty Last?,What quantities is Asian Paints Wall Putty available in?,What tools are used to apply the Asian Paints Trucare Wall Putty?,On What Kind Of Surfaces Can Trucare Wall Putty Be Applied?,How Much Time Will The Wall Putty Take To Dry?,Asian Paints Trucare Wall Putty has very good durability and can easily last for several years depending upon the surface condition and quality of application.,"The quantity available for Asian Paints Wall Putty comes in 1 kg,5 kg, 20 kg and 40 kg quantities.","Some of the common tools used in applying Asian Trucare Wall Putty are a putty knife, trowel, and sandpaper.","Trucare Wall Putty can be applied to exterior walls, including plastered surfaces, concrete, and cemented walls.",Trucare Wall Putty takes anywhere between 6-8 hours to dry up.,Yes,Yes,https://www.asianpaints.com/products/paints-and-textures/exterior-walls/plain-finishes/trucare-wall-putty.html
86,SmartCare Waterproofing Putty,Exterior,Putty (Base Material),Kg,Water,1,20,30,40,,,,White,1 - 1.5 sq.m/kg for upto 1.5 mm,,30 Minutes,"A premium quality white cement based putty that is specially designed with unique properties and silicone additives, and comes with waterproofing properties. SmartCare WaterProof Wall Putty can be used on interior and exterior concrete/mortar surfaces to provide a vibrant white smooth finish as well as an extended life of top coats",SmartCare WaterProof Wall Putty is a specially designed white cement based premium quality putty with unique properties and silicone additives.,Water Resistance,Efflorescence Resistant,Vibrant White Whiteness,Waterproofing Warranty,Good Workability,,,,,,,,,,How long does the waterproofing last with SmartCare Waterproof Wall Putty?,Is SmartCare Waterproof Wall Putty safe for the environment?,Can it be used for both interior and exterior surfaces?,What is the coverage for SmartCare Waterproof Wall Putty?,What colors are available?,"When applied correctly, it offers long-lasting protection against water seepage and efflorescence.","Yes, it is formulated to minimize environmental impact.","Absolutely. It is suitable for both interior and exterior applications, providing a durable and water-resistant finish.","The putty offers up to 15% more coverage compared to ordinary putties, ensuring efficient material usage.","SmartCare Waterproof Wall Putty comes in brilliant white, offering vibrant and clean finishes.",Yes,Yes,https://www.asianpaints.com/products/waterproofing-solutions/smartcare-waterproofing-putty.html
87,Trucare Knifing Paste Filler,Interior & Exterior Both,Putty (Base Material),Kg,Thinner,1,2,5,15,30,5 (Highly Washable),,Grey,4 - 6 Sq. Ft./ Kg,,4-6 Hours,"Are surface dents spoiling the look of your furniture and walls? Asian Paints TruCare Knifing Paste Filler can be used on most surface imperfections to give them a smooth finish. Asian Paints TruCare Knifing Paste Filler has butter like consistency and is easy to apply. It is supplied at ready to use
consistency, but can be thinned to desired consistency by using recommended thinner. Upon air drying, it dries hard.
Cutting is easy and involves no strain.",Asian Paints TruCare Knifing Paste Filler is used on metallic or wooden surfaces for filling of dents and other surface imperfection,EASY CUTTING,HARD DRY,CAN BE THINNED,EASY APPLY,,,,,,,,,,,,,,,,,,,,,Yes,Yes,https://www.asianpaints.com/products/wood-and-metals/metal-enamels/trucare-knifing-paste-filler.html
88,SmartCare Repair Polymer,Interior & Exterior Both,Waterproof Chemical,Liter,Water,"0.2L , 0.5L",1,5,10,20 & 50,,,Liquid for mix,1.5-2 m2/kg,,,"An SBR based, economical repair and preventive waterproofing coating, Smartcare Repair Polymer is recommended as a repairing and bonding agent for concrete/mortar in repair like spalled concrete - floors, chajjas, beams, slabs as it bonds old and new concrete surfaces strongly with plasters. It can also be used for waterproofing of toilets, bathrooms and small terraces.",Asian Paints SmartCare Repair Polymer is a high performance modified Styrene-butadiene rubber (SBR) based binder.,Multipurpose,Shrinkage,Mortar modifier,Abrasion resistance,Reduces cracking,,,,,,,,,,How long does the waterproofing last with SmartCare Repair Polymer?,Is SmartCare Repair Polymer safe for the environment?,Can SmartCare Repair Polymer be used for both interior and exterior waterproofing?,What is the coverage for SmartCare Repair Polymer?,What colours are available in SmartCare Repair Polymer?,"SmartCare Repair Polymer ensures durable waterproofing results, making it a trusted choice for long-term protection. When stored in a sealed container in a cool, dry location, its shelf life extends up to 18 months. This ensures the product maintains its effectiveness and reliability for various applications when used properly.","Yes, SmartCare Repair Polymer is designed with eco-friendly properties, making it a safer choice for the environment while delivering superior performance. This ensures it is suitable for a wide range of applications without compromising environmental safety, offering peace of mind with every use.","Absolutely! SmartCare Repair Polymer is a versatile product suitable for both interior and exterior waterproofing applications. Whether it’s sealing cracks or providing effective bonding, it caters to varied needs, ensuring durable, reliable, and professional-grade results for all types of repair and construction projects.","SmartCare Repair Polymer provides excellent coverage depending on the application. For waterproofing requirements, it covers approximately 1.5–2 m² per kilogram. For bonding applications, the range extends to 4.5–5 m² per kilogram. This versatility ensures efficient usage for both waterproofing and structural bonding tasks.","SmartCare Repair Polymer comes in a clear, natural finish, blending seamlessly with various surfaces. Its neutral appearance ensures compatibility with different materials, making it an excellent choice for repairs and waterproofing while maintaining the aesthetic quality of the project.",Yes,Yes,https://www.asianpaints.com/products/waterproofing-solutions/smartcare-repair-polymer.html
89,SmartCare Epoxy TriBlock,Interior & Exterior Both,Waterproof Chemical,Kg,Water,1,5,,,,,,White,28 sq. ft. per kg,,22 Minutes,An epoxy coating for waterproofing of cementitious water-retaining structures such as water tanks. SmartCare Epoxy TriBlock is food grade certified making it fit for storing potable water.,BEST-IN-CLASS SOLUTION FOR CEMENTITIOUS WATER TANKS,Food Grade Certified,Microbial Coating,Superior Adhesion,,,,,,,,,,,,How long does the waterproofing last with SmartCare Epoxy TriBlock?,Is SmartCare Epoxy TriBlock safe for the environment?,Can SmartCare Epoxy TriBlock be used for both interior and exterior waterproofing?,What is the coverage for SmartCare Epoxy TriBlock?,What colours are available in SmartCare Epoxy TriBlock?,"When applied following the recommended guidelines, SmartCare Epoxy TriBlock offers exceptional waterproofing performance with the assurance of a 2-year warranty. This guarantee reflects the product's durability and reliability, making it a trusted choice for cement-based water-retaining structures. Proper application ensures long-term protection against leaks, keeping your water storage secure and efficient.","Yes, SmartCare Epoxy TriBlock is FDA-certified, making it a safe and sustainable solution for potable water storage applications. This certification highlights its eco-friendly formulation, providing you with peace of mind regarding water safety. The product balances high performance with environmental care, ensuring a hygienic and reliable waterproofing solution.","SmartCare Epoxy TriBlock is highly versatile, making it suitable for both interior and exterior cementitious water-retaining structures. Its adaptability ensures effective waterproofing in various applications, from domestic water tanks to swimming pools. This flexibility allows you to address waterproofing needs comprehensively, ensuring robust performance in diverse environments and conditions.","With a coverage of approximately 28 sq. ft. per kilogram for two coats, SmartCare Epoxy TriBlock ensures efficient usage for large or small projects. This optimal coverage makes the product both cost-effective and reliable, providing consistent waterproofing performance while maximizing its value for applications across various cementitious structures.","SmartCare Epoxy TriBlock is available in a sleek and appealing standard white shade. This neutral colour suits various applications while enhancing the overall aesthetic of water-retaining structures. The white finish not only ensures a clean appearance but also adds a professional touch, making it an excellent choice for diverse waterproofing needs.",Yes,Yes,https://www.asianpaints.com/products/waterproofing-solutions/smartcare-epoxy-triblock.html
